epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,1099.26,0.32353,0.3037,0.87503,0.99874,1,0.995,0.97392,0.27392,0.22854,0.83177,0.0006324,0.0006324,0.0006324
148,1106.36,0.30752,0.28574,0.84666,0.99821,1,0.995,0.97252,0.2853,0.23057,0.83731,0.000628101,0.000628101,0.000628101
149,1113.04,0.31027,0.27447,0.85937,0.99863,1,0.995,0.95968,0.28206,0.22448,0.8398,0.000623793,0.000623793,0.000623793
150,1120.67,0.29504,0.2809,0.84193,0.99872,1,0.995,0.96756,0.26936,0.21808,0.83435,0.000619475,0.000619475,0.000619475
151,1127.54,0.31602,0.27934,0.8654,0.99853,1,0.995,0.96936,0.26906,0.23884,0.8311,0.000615148,0.000615148,0.000615148
152,1136.23,0.31312,0.28017,0.85895,0.99696,1,0.995,0.96527,0.2984,0.25601,0.83928,0.000610812,0.000610812,0.000610812
153,1142.39,0.34841,0.29817,0.86608,0.99798,1,0.995,0.9667,0.29281,0.24283,0.83162,0.000606467,0.000606467,0.000606467
154,1150.31,0.31291,0.3,0.86158,0.99675,1,0.995,0.96438,0.27717,0.2285,0.82389,0.000602114,0.000602114,0.000602114
155,1157.52,0.33009,0.29345,0.8546,0.99325,1,0.995,0.94945,0.29601,0.23488,0.83181,0.000597754,0.000597754,0.000597754
156,1165.44,0.34723,0.29808,0.87672,0.99335,1,0.995,0.94725,0.30485,0.24318,0.8382,0.000593386,0.000593386,0.000593386
157,1172.12,0.32276,0.28559,0.87521,0.99402,1,0.995,0.9532,0.29759,0.22717,0.83324,0.00058901,0.00058901,0.00058901
158,1180.46,0.33688,0.29655,0.87252,0.99537,1,0.995,0.96299,0.29204,0.24022,0.83395,0.000584628,0.000584628,0.000584628
159,1186.88,0.31534,0.2854,0.86568,0.99576,1,0.995,0.96844,0.28788,0.23764,0.83246,0.00058024,0.00058024,0.00058024
160,1195.83,0.31835,0.28978,0.85359,0.99738,1,0.995,0.97084,0.2851,0.22954,0.82942,0.000575846,0.000575846,0.000575846
161,1201.99,0.33871,0.30624,0.85088,0.99803,1,0.995,0.96815,0.29403,0.227,0.83259,0.000571445,0.000571445,0.000571445
162,1210.1,0.31903,0.27438,0.84754,0.9988,1,0.995,0.97337,0.28,0.21582,0.83156,0.00056704,0.00056704,0.00056704
163,1216.34,0.30422,0.27975,0.87794,0.99877,1,0.995,0.97596,0.27332,0.21358,0.82237,0.000562629,0.000562629,0.000562629
164,1225.33,0.32188,0.27632,0.86799,0.99874,1,0.995,0.96694,0.26437,0.21374,0.82021,0.000558214,0.000558214,0.000558214
165,1231.66,0.32675,0.28481,0.866,0.99877,1,0.995,0.96138,0.27143,0.21774,0.82613,0.000553795,0.000553795,0.000553795
166,1240.35,0.29964,0.27846,0.83846,0.99882,1,0.995,0.96087,0.27531,0.21954,0.83424,0.000549371,0.000549371,0.000549371
167,1247.19,0.32149,0.28825,0.85764,0.99883,1,0.995,0.96876,0.28317,0.22961,0.83339,0.000544945,0.000544945,0.000544945
168,1254.89,0.33318,0.29375,0.86908,0.99884,1,0.995,0.97121,0.27706,0.21909,0.82909,0.000540514,0.000540514,0.000540514
169,1261.9,0.2844,0.26004,0.87662,0.99885,1,0.995,0.97461,0.27392,0.21744,0.82651,0.000536081,0.000536081,0.000536081
170,1269.99,0.32542,0.28323,0.87549,0.99883,1,0.995,0.96933,0.27757,0.21414,0.8226,0.000531646,0.000531646,0.000531646
171,1276.99,0.32229,0.28676,0.85624,0.99883,1,0.995,0.97613,0.28127,0.20845,0.82585,0.000527208,0.000527208,0.000527208
172,1285.08,0.32311,0.29702,0.84826,0.99873,1,0.995,0.96963,0.28419,0.20841,0.82969,0.000522769,0.000522769,0.000522769
