epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1432.11,0.32401,0.31744,0.86827,0.99885,1,0.995,0.95892,0.30915,0.22402,0.83843,0.000602114,0.000602114,0.000602114
155,1440.75,0.33045,0.30646,0.85819,0.9984,1,0.995,0.95953,0.29417,0.22125,0.83515,0.000597754,0.000597754,0.000597754
156,1449.45,0.35754,0.31478,0.8779,0.99857,1,0.995,0.96079,0.29152,0.22739,0.8322,0.000593386,0.000593386,0.000593386
157,1457.95,0.32542,0.30416,0.88236,0.99883,1,0.995,0.96651,0.29628,0.22385,0.83354,0.00058901,0.00058901,0.00058901
158,1467,0.34822,0.30181,0.87152,0.99889,1,0.995,0.96111,0.30304,0.21929,0.83545,0.000584628,0.000584628,0.000584628
159,1476.78,0.31959,0.27707,0.87077,0.99891,1,0.995,0.95358,0.2988,0.22036,0.8335,0.00058024,0.00058024,0.00058024
160,1485.51,0.30906,0.25815,0.85188,0.99887,1,0.995,0.96251,0.29654,0.22498,0.83542,0.000575846,0.000575846,0.000575846
161,1495.45,0.30984,0.29961,0.84293,0.99883,1,0.995,0.95508,0.30254,0.22889,0.83842,0.000571445,0.000571445,0.000571445
162,1503.98,0.2984,0.26274,0.83466,0.99809,1,0.995,0.9613,0.30759,0.30833,0.84168,0.00056704,0.00056704,0.00056704
163,1512.74,0.31258,0.28681,0.87353,0.99855,1,0.995,0.96623,0.27676,0.27513,0.83255,0.000562629,0.000562629,0.000562629
164,1522.43,0.32649,0.29028,0.88015,0.99868,1,0.995,0.97224,0.27412,0.22086,0.83368,0.000558214,0.000558214,0.000558214
165,1531.34,0.33184,0.29933,0.87004,0.99877,1,0.995,0.96446,0.28159,0.21228,0.83587,0.000553795,0.000553795,0.000553795
166,1541.9,0.31765,0.28069,0.8408,0.99859,1,0.995,0.96024,0.2874,0.19147,0.8375,0.000549371,0.000549371,0.000549371
167,1550.57,0.3248,0.28011,0.85713,0.99864,1,0.995,0.97435,0.27812,0.20269,0.83223,0.000544945,0.000544945,0.000544945
168,1559.87,0.33875,0.31177,0.86906,0.99876,1,0.995,0.97555,0.29112,0.1974,0.83846,0.000540514,0.000540514,0.000540514
169,1567.94,0.28192,0.25484,0.87007,0.99874,1,0.995,0.96764,0.28843,0.19948,0.83446,0.000536081,0.000536081,0.000536081
170,1576.64,0.31741,0.28423,0.86864,0.99875,1,0.995,0.96537,0.29839,0.21155,0.83337,0.000531646,0.000531646,0.000531646
171,1585.77,0.3188,0.26916,0.85359,0.99865,1,0.995,0.97662,0.29917,0.20943,0.83577,0.000527208,0.000527208,0.000527208
172,1598.77,0.31493,0.28082,0.84842,0.99846,1,0.995,0.97218,0.29328,0.21489,0.836,0.000522769,0.000522769,0.000522769
173,1608.71,0.32388,0.29237,0.84982,0.99856,1,0.995,0.97549,0.28526,0.2136,0.83212,0.000518328,0.000518328,0.000518328
174,1619.98,0.31435,0.26518,0.87478,0.99829,1,0.995,0.97449,0.27577,0.20518,0.82965,0.000513886,0.000513886,0.000513886
175,1627.91,0.31374,0.26713,0.85343,0.99856,1,0.995,0.97558,0.27391,0.18883,0.82923,0.000509443,0.000509443,0.000509443
176,1636.78,0.28977,0.2447,0.84998,0.99869,1,0.995,0.9755,0.27277,0.19474,0.83302,0.000505,0.000505,0.000505
177,1644.53,0.30804,0.26795,0.85425,0.99875,1,0.995,0.97132,0.28337,0.20503,0.8364,0.000500557,0.000500557,0.000500557
178,1653.48,0.29065,0.25462,0.86058,0.99876,1,0.995,0.97097,0.28621,0.19849,0.83395,0.000496114,0.000496114,0.000496114
179,1663.47,0.32294,0.27318,0.86316,0.99887,1,0.995,0.96867,0.28221,0.19388,0.82816,0.000491672,0.000491672,0.000491672
180,1671.81,0.29612,0.25575,0.86165,0.99882,1,0.995,0.97174,0.27654,0.19779,0.82707,0.000487231,0.000487231,0.000487231
181,1680.97,0.29101,0.23967,0.85506,0.99881,1,0.995,0.97425,0.27011,0.19702,0.82452,0.000482792,0.000482792,0.000482792
182,1690.07,0.27884,0.24224,0.84032,0.99876,1,0.995,0.97276,0.26321,0.18638,0.81989,0.000478354,0.000478354,0.000478354
183,1698.55,0.30208,0.25703,0.84888,0.99878,1,0.995,0.97375,0.27356,0.19087,0.82043,0.000473919,0.000473919,0.000473919
184,1707.38,0.28478,0.25656,0.862,0.99886,1,0.995,0.97438,0.28244,0.19095,0.82596,0.000469486,0.000469486,0.000469486
185,1717.75,0.30865,0.27184,0.84497,0.99887,1,0.995,0.97153,0.28732,0.19269,0.82989,0.000465055,0.000465055,0.000465055
186,1726.71,0.27242,0.23162,0.84663,0.99884,1,0.995,0.97207,0.27883,0.19816,0.83039,0.000460629,0.000460629,0.000460629
